Bloomberg Ticker,Yahoo Finance Ticker,iShares Ticker,Vanguard Ticker,VanEck Ticker
HGT LN Equity,HGT.L,HGT,,
GOOGL US Equity,GOOGL,GOOGL,GOOGL,GOOGL
MSFT US Equity,MSFT,MSFT,MSFT,MSFT
AAPL US Equity,AAPL,AAPL,AAPL,AAPL
RS UN Equity,RS,RS,,
AJG US Equity,AJG,AJG,AJG,
NVO US Equity,NVO,NOVO,NVO,
MCD UN Equity,MCD,MCD,MCD,
MC FP Equity,MC.PA,MC,,
UNH US Equity,UNH,UNH,UNH,
WRB US Equity,WRB,WRB,WRB,
LOTB BB Equity,LOTB.BR,LOTB,,
ETN UN Equity,ETN,ETN,ETN,ETN
RMS FP Equity,RMS.PA,RMS,,
RACE IM Equity,RACE.MI,RACE,RACE,
COST UW Equity,COST,COST,COST,COST
PGR US Equity,PGR,PGR,PGR,
V UN Equity,V,V,V,
CSL US Equity,CSL,CSL,,
GWW UN Equity,GWW,GWW,GWW,
CTAS UW equity,CTAS,CTAS,CTAS,
ACGL UW equity,ACGL,ACGL,ACGL,
STLD UW Equity,STLD,STLD,STLD,
CASY UW equity,CASY,CASY,,
RHM GY Equity,RHM.DE,RHM,,
HUBB UN Equity,HUBB,HUBB,,
MA UN Equity,MA,MA,MA,MA
ARES UN Equity,ARES,ARES,,
PG UN Equity,PG,PG,PG,
PH UN Equity,PH,PH,PH,
MMC US equity,MMC,MMC,MMC,
ADP US equity,ADP,ADP,ADP,
TMUS UW Equity,TMUS,TMUS,TMUS,
LIN US equity,LIN,LIN,LIN,
EME US Equity,EME,EME,,
APH US Equity,APH,APH,APH,
BMI UN Equity,BMI,BMI,,
HWKN UW Equity,HWKN,HWKN,,
MUSA US Equity,MUSA,MUSA,,
CRH LN Equity,CRH.L,CRH,CRH,
WKL NA Equity,WKL.AS,WKL,,
